Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.779999,160.729996,158.330002,160.619995,154.493835,22622100
2020-01-03,158.320007,159.949997,158.059998,158.619995,152.570129,21116200
2020-01-06,157.080002,159.100006,156.509995,159.029999,152.964493,20813700
2020-01-07,159.320007,159.669998,157.320007,157.580002,151.569748,21634100
2020-01-08,158.929993,160.800003,157.949997,160.089996,153.984055,27746500
2020-01-09,161.839996,162.220001,161.029999,162.089996,155.907761,21385000
2020-01-10,162.820007,163.220001,161.179993,161.339996,155.186356,20725900
2020-01-13,161.759995,163.309998,161.259995,163.279999,157.052399,21626500
2020-01-14,163.389999,163.600006,161.720001,162.130005,155.946259,23477400
2020-01-15,162.619995,163.940002,162.570007,163.179993,156.956207,21417900
2020-01-16,164.350006,166.240005,164.029999,166.169998,159.832153,23865400
2020-01-17,167.419998,167.470001,165.429993,167.100006,160.726685,34371700
2020-01-21,166.679993,168.190002,166.429993,166.500000,160.149582,29517200
2020-01-22,167.399994,167.490005,165.679993,165.699997,159.380081,24138800
2020-01-23,166.190002,166.800003,165.270004,166.720001,160.361176,19680800
2020-01-24,167.509995,167.529999,164.449997,165.039993,158.745239,24918100
2020-01-27,161.149994,163.380005,160.199997,162.279999,156.090515,32078100
2020-01-28,163.779999,165.759995,163.070007,165.460007,159.149231,24899900
2020-01-29,167.839996,168.750000,165.690002,168.039993,161.630814,34754500
2020-01-30,174.050003,174.050003,170.789993,172.779999,166.190048,51597500
2020-01-31,172.210007,172.399994,169.580002,170.229996,163.737289,36142700
2020-02-03,170.429993,174.500000,170.399994,174.380005,167.728989,30107000
2020-02-04,177.139999,180.639999,176.309998,180.119995,173.250107,36433300
2020-02-05,184.029999,184.199997,178.410004,179.899994,173.038483,39186300
2020-02-06,180.970001,183.820007,180.059998,183.630005,176.626190,27751400
2020-02-07,182.850006,185.630005,182.479996,183.889999,176.876282,33529100
2020-02-10,183.580002,188.839996,183.250000,188.699997,181.502853,35844300
2020-02-11,190.649994,190.699997,183.500000,184.440002,177.405334,53159900
2020-02-12,185.580002,185.850006,181.850006,184.710007,177.665039,47062900
2020-02-13,183.080002,186.229996,182.869995,183.710007,176.703140,35295800
2020-02-14,183.250000,185.410004,182.649994,185.350006,178.280594,23149500
2020-02-18,185.610001,187.699997,185.500000,187.229996,180.088913,27792200
2020-02-19,188.059998,188.179993,186.470001,187.279999,180.628998,29997500
2020-02-20,186.949997,187.250000,181.100006,184.419998,177.870590,36862400
2020-02-21,183.169998,183.500000,177.250000,178.589996,172.247620,48572600
2020-02-24,167.770004,174.550003,163.229996,170.889999,164.821091,68311100
2020-02-25,174.199997,174.839996,167.649994,168.070007,162.101288,68073300
2020-02-26,169.710007,173.259995,168.210007,170.169998,164.126663,56206100
2020-02-27,163.320007,167.029999,157.979996,158.179993,152.562469,93174900
2020-02-28,152.410004,163.710007,152.000000,162.009995,156.256470,97012700
2020-03-02,165.309998,172.919998,162.309998,172.789993,166.653610,71030800
2020-03-03,173.800003,175.000000,162.259995,164.509995,158.667679,71677000
2020-03-04,168.490005,170.699997,165.619995,170.550003,164.493195,49814400
2020-03-05,166.050003,170.869995,165.690002,166.270004,160.365173,47817300
2020-03-06,162.610001,163.110001,156.000000,161.570007,155.832062,72821100
2020-03-09,151.000000,157.750000,150.000000,150.619995,145.270920,70419300
2020-03-10,158.160004,161.029999,152.580002,160.919998,155.205170,65354400
2020-03-11,157.130005,157.699997,151.149994,153.630005,148.174042,56371600
2020-03-12,145.300003,153.470001,138.580002,139.059998,134.121475,93226400
2020-03-13,147.500000,161.910004,140.729996,158.830002,153.189377,92727400
2020-03-16,140.000000,149.350006,135.000000,135.419998,130.610779,87905900
2020-03-17,140.000000,147.500000,135.000000,146.570007,141.364807,81059800
2020-03-18,138.000000,146.000000,135.020004,140.399994,135.413895,81593200
2020-03-19,142.770004,150.149994,139.000000,142.710007,137.641876,85922700
2020-03-20,146.000000,147.100006,135.860001,137.350006,132.472244,84866200
